Author/s,Title,Publication Year,Lens ID,DOI,Citing Works Count
A N Kharitonov; I.A. Basyul; K.I. Ananyeva; N.O. Tovuu,Ethnic face categorization by Russians and Tuvinians in discrimination tasks,2019,070-620-688-354-735,10.17759/exppsy.2019120410,0
T N Savchenko; A G Faustova,Adaptation of M. Kernis – A. Paradise «The Contingent Self-Esteem Scale»,2016,070-693-841-714-969,10.17759/exppsy.2016090408,1
Vladimir Tolochek,"Psychology of work and psychology of sport: subject, tasks, evolution of discipline. Part 2",2022,071-576-664-129-411,10.38098/ipran.opwp_2022_23_2_002,0
Andrei V. Plotnikov; Sergei A. Elkin,APPLYING CLASSICAL MANAGEMENT KEYNOTES OF ORGANISATIONAL BEHAVIOUR IN AGILE MANAGEMENT APPROACHES,2022,072-016-978-871-265,10.12731/2070-7568-2022-11-4-52-66,0
Емельянова Татьяна Петровна; Шмидт Дарья Александровна,ROMANTIC RELATIONS AND MARRIAGE IN SOCIAL REPRESENTATIONS OF MILLENNIALS AND BABY-BOOMERS,2019,072-551-643-049-91X,10.18384/2310-7235-2019-1-29-43,6
A.V. Makhnach,The problem of generation in a foster family as a special small social group,2019,072-682-038-352-320,10.17759/sps.2019100211,1
Taisiya A. Grebenshchikova; Гребенщикова Таисия Александровна; Irina A Zachiosova; Зачесова Ирина Анатольевна;Natalya D. Pavlova; Павлова Наталия Дмитриевна,CONTEMPORARY VIEWS ON THE TERM ‘DISCOURSE’ IN PSYCHOLOGICAL STUDIES,2018,074-785-339-591-194,10.22363/2313-1683-2018-15-3-239-254,0
Galina Ozhiganova,Personal Spiritual-Moral Qualities and Empathy as Components of Higher Moral Capacities: Verification of the Relationship based on a Russian Sample,2020,075-562-843-065-474,10.22363/2313-1683-2020-17-4-637-655,3
T.V. Drobysheva; V.A. Sadov,"TEST QUESTIONNAIRE DEVELOPMENT ""SCALE FINANCIAL ANXIETY OF THE PERSONAL"" (BASED ON THE QUESTIONNAIRE OF R. LIKHI)",2021,077-545-494-389-099,10.38098/ipran.sep_2021_22_2_12,2
A.V. Makhnach; A.I. Laktionova,Family Resilience from the Perspective of A.A. Bogdanov’ Organizational Theory,2021,079-236-985-896-339,10.17759/sps.2021120203,7
A.N. Morgun; Yu.N. Oleinik;A.L. Zhuravlev,"AUTHOR'S COOPERATION IN THE INFORMATION SPACE OF ""PSIHOLOGICHESKIJ ZHURNAL"": COMMUNITIES AND SCIENTIFIC TOPICS IN PROFESSIONAL COMMUNICATION",2022,079-601-667-966-656,10.38098/ipran.sep_2022_27_3_01,0
A.V. Uchaev; Yuri I. Alexandrov,The Success of Information Concealment During Polygraph Testing by Individuals of Different Mentality Types,2021,079-808-985-988-875,10.17759/exppsy.2021140211,2
Timofey V. Shumilov; Alexandra V. Chistopolskaya; Ilya Yu. Vladimirov,THE PATH TO INSIGHT: DEVELOPING METHODS TO INCREASE THE EFFECTIVENESS OF INSIGHTFUL SOLUTION DETECTION,2023,080-196-551-678-571,10.17323/1813-8918-2023-3-473-489,1
A.V. Zhegallo,Слежение за движущимися объектами на видеозаписи в психологических исследованиях,2019,082-558-710-741-135,10.17759/exppsy.2019120401,0
Anatoly L. Zhuravlev; Dzhul'etta A. Kitova,COGNITIVE AND EMOTIONAL FEATURES OF THE POPULATION'S ATTITUDE TO VACCINATION AGAINST CORONAVIRUS,2022,082-915-310-809-412,10.38098/ipran.opwp_2022_24_3_007,0
A.V. Zhegallo; I.A. Basyul,Парный эксперимент для выявления индикаторов правды и лжи с высокой экологической валидностью,2019,083-136-140-918-707,10.17759/exppsy.2019120412,0
V. V. Apanovich; B.N. Bezdenezhnykh; V V Znakov; Mikko Sams; J Jaaskelainen; Y I Aleksandrov,"Differences of the brain activity in individual, competitive and cooperative behavior between subjects with analytic and holistic cognitive styles",2016,083-833-059-450-397,10.17759/exppsy.2016090202,8
Vladimir Tolochek,Professional career as a phenomenon: open questions. Part 1,2022,084-137-914-390-784,10.17323/2312-5942-2022-12-4-9-28,3
Natal'ja V. Borisova,MORAL AND LEGAL CONSCIOUSNESS OF FRIEDRICH-JOSEPH HAASS. PART 1. THE FIRST HALF OF THE PROFESSIONAL PATH AND SOCIAL SERVICE,2022,084-139-572-180-988,10.38098/ipran.opwp_2022_25_4_001,1
V.M. Bondarko; D. V. Bondarko; V. N. Chikhman,Dependence of the Oppel-Kundt illusion on configuration of the components,2016,084-430-232-151-199,10.17759/exppsy.2016090303,2
J Bykhovets;Padun,Personal Anxiety and Emotion Regulation in the Context of Study of Post-Traumatic Stress,2019,085-830-641-107-155,10.17759/cpse.2019080105,10
Г Н Эйдельман,Особенности жизненной позиции при различных уровнях психологического благополучия у современной молодежи,2016,085-927-101-578-678,10.17759/exppsy.2016090207,6
V. V. Apanovich; E.A. Aramyan; D.L. Gladilin; K.S. Yudakov; S.A. Karpov; A.G. Gorkin; Y.I. Alexandrov,Development and Approbation of a Psychophysical Method for the Study of Skill Acquisition and Improvement,2022,087-205-133-260-750,10.17759/exppsy.2022150315,1
V.A. Lektorsky,"The Natural, the Artificial and Human Sciences",2018,088-477-468-762-862,10.17759/chp.2018140302,4
Victor V. Znakov; Знаков Виктор Владимирович; Ludmila Pochebut; Почебут Людмила Георгиевна; Georgij V. Losik; Лосик Георгий Васильевич,"An outstanding scientist, psychologist Viktor P. Sheinov celebrates his 80th anniversary!",2020,089-180-331-675-003,10.22363/2313-1683-2020-17-2-348-356,0
Vladimir B. Ryabov,PROBLEM AS A SOURSE OF HUMAN BEHAVIOR ACTIVITY,2021,089-542-614-360-998,10.38098/ipran.opwp_2021_20_3_001,0
Anna I. Laktionova,AGE AND GENDER DIFFERENCES IN HUMAN RESILIENCE. PART 1,2021,091-810-488-563-590,10.38098/ipran.opwp_2021_21_4_005,1
T N Grechenko; A N Kharitonov;Zhegallo,Social structures and communications in the world of microorganisms,2019,092-965-203-666-186,10.17759/exppsy.2019120409,1
T. Sherkova; N. Kuzina,Formation of the Personality - Self-consciousness of the Individual in Pre-dynastic Egypt,2020,093-119-344-473-103,10.33619/2414-2948/52/61,1
Kubrak; Taisiya A Grebenschikova;Natalya D. Pavlova,Psychological profile of a modern viewer: the structure and correlates of movie preferences,2017,093-788-400-459-372,10.17759/exppsy.2017100401,3
Alexander V. Makhnach; Anna I. Laktionova; Pavel V. Bashkirov; Konstantin V. Pavlov; Sergey A. Shiryaev; Denis A. Gudkov,THE RELATIONSHIP OF A PERSON'S RESILIENCE WITH HIS TEMPERAMENT AND THE LEVEL OF EXPERIENCING STRESSFUL SITUATIONS OF VARIOUS GENESIS,2023,095-636-051-764-829,10.38098/ipran.opwp_2023_26_1_006,0
Zhegallo,Eyetracking technology usage in cognitive experience preservation and transferring task,2018,097-178-467-907-210,10.17759/exppsy.2018110412,2
V. I. Arshinov; V. G. Budanov,V. S. Stepin’s Concept of Post-Non-Classical Science and N. N. Moiseev’s Concept of Universal Evolutionism,2019,098-030-770-100-482,10.30727/0235-1188-2019-62-4-96-112,6
Valentina N. Burkova; Julija N. Fedenok; Marina Butovskaya,Эмпатия и интолерантность российской молодежи в отношении инвалидов: половые и личностные различия,2019,098-060-000-711-073,10.17759/exppsy.2019120105,4
Т В Журавлева,Суицид — осознанный выбор смерти: философские и психологические аспекты проблемы,2018,098-462-907-243-476,10.17759/psylaw.2018080203,2
Дробышева Татьяна Валерьевна; Гагарина Мария Анатольевна; Nestik,ATTITUDE TO CRYPTO-CURRENCIES AMONG YOUNG PEOPLEWITH DIFFERENT EXPERIENCES OF FINANCIAL BEHAVIOR,2021,098-686-768-626-735,10.18384/2310-7235-2021-1-84-96,0
Nina B. Bakanova,ASPECTS OF DEVELOPING SERVICES TO SUPPORT MANAGEMENT ACTIVITIES ON THE BASIS OF INFORMATION RESOURCES OF ORGANIZATIONAL MANAGEMENT SYSTEMS. Part 1,2022,099-239-382-994-780,10.38098/ipran.opwp_2022_23_2_006,0
Natalya D. Pavlova; Павлова Наталия Дмитриевна;Anatoly N. Voronin; Воронин Анатолий Николаевич; Taisiya A Grebenschikova; Гребенщикова Таисия Александровна;Kubrak; Kubrak,Development of Approach to Typology of Internet Communities based on Discursive Markers of Collective Subjectivity,2019,101-880-703-155-800,10.22363/2313-1683-2019-16-3-341-358,4
Vladimir Apanovich; A.G. Tishchenko; Karina R. Arutyunova; Yuri I. Alexandrov,Strategies for Solving Analytical and Holistic Problems,2020,102-116-577-955-884,10.17759/exppsy.2020130404,1
Vladimir Tolochek,"The phenomenon of ""resilience"": possible research prospects",2021,103-106-066-586-623,10.38098/ipran.opwp_2021_19_2_002,3
Anastasia E. Vorobieva; Anastasia A. Akbarova,PSYCHOLOGICAL TYPES OF ATTITUDE TO LEISURE IN THE CONDITIONS OF THE ECONOMIC CRISIS (REGIONAL SPECIFICITY),2017,103-520-997-177-119,10.18384/2310-7235-2017-4-38-50,0
T N Reznikova; N A Seliverstova,On the Correction of a Mental State in the Non-Drug Way at Multiple Sclerosis,2019,103-774-705-401-781,10.17759/cpse.2019080111,3
Elena A. Nikitina,FACTORS OF LIFE SATISFACTION IN OLDER AGE,2023,104-056-359-830-531,10.38098/ipran.opwp_2023_26_1_007,0
V.F. Rubakhin,STATE AND TRENDS OF DEVELOPMENT OF ENGINEERING PSYCHOLOGY,2021,104-208-529-581-698,10.38098/ipran.opwp_2021_20_3_010,0
Yu.I. Kholodny; Denis G. Malakhov; Vyacheslav A. Orlov; Sergey I. Kartashov; Y.I. Alexandrov; Mikhail V. Kovalchuk,Study of Neurocognitive Processes in a Paradigm of Information Concealment,2021,104-842-245-372-85X,10.17759/exppsy.2021140302,5
Elena A. Volodarskaya; Володарская Елена Александровна,A Study of the Scientist’s Image in the Context of S. Moscovici’s Theory of Social Representations,2021,105-554-461-561-428,10.22363/2313-1683-2021-18-2-402-421,1
Sergei Alevtinovich Smirnov,Digital school: Searching for Explanatory Models. Part 2,2021,105-764-264-847-828,10.15293/2658-6762.2106.05,1
A.L. Zhuravlev; A.A. Kostrigin,PREREQUISITES FOR THE FORMATION OF THE SCIENTIFIC DIRECTION OF PSYCHOLOGY OF MORALITY AT THE INSTITUTE OF PSYCHOLOGY OF THE RAS IN THE SOVIET AND POST-SOVIET PERIODS,2023,106-208-284-444-769,10.38098/ipran.sep_2023_29_1_01,0
В М Бондарко; М В Данилова; С Д Солнушкин; В Н Чихман,Исследование краудинг-эффекта для стимулов низкого контраста и большого размера в центре поля зрения,2015,106-970-274-454-802,10.17759/exppsy.2015080202,0
K.I. Ananyeva; I.A. Basyul; A.A. Demidov; N.O. Tovuu,Auto and Heterostereotypes of Tuvans and Komi: a Correspondence Analysis,2020,107-067-127-761-218,10.17759/exppsy.2020130209,0
Nestik; Olga Deyneka; A. А Maksimenko,Socio-Psychological Predictors of Belief in Conspiracy Theories of the Origin of COVID-19 and Involvement in Social Media,2020,108-470-056-332-454,10.17759/sps.2020110407,18
N E Kharlamenkova; N A Yeskin; A I Snetkov; A D Akinshina; S Y Batrakov; G A Vilenskaya; I M Dan; M V Dan; N N Matveychuk; E A Nikitina,True and pseudo-interdisciplinary researches: The principles of a system-structural approach to the medical-and-psychological projects planning,2019,109-018-743-248-057,10.17759/exppsy.2019120414,1
R. I. Antokhina; A. V. Vasilyeva; E. Y. Antokhin; L. S. Chutko; N. V. Stepanova,"Features of the relationship between emotional burnout and experiencing psychological stress with socio-psychological factors, anxiety-depressive and asthenic manifestations in medical workers during the COVID-19 pandemic",2022,109-354-501-098-298,10.31363/2313-7053-2022-56-4-18-30,4
S.S. Belova; V N Nosulenko; T N Ushakova,The use of video surveillance for identification of the internal processes of pre-verbal development in infant,2016,110-452-358-470-011,10.17759/exppsy.2016090206,1
Sergei A. Kibalnik; Переосмысление Эстетики; И Политики,Literature of the Americas,2021,111-190-451-290-276,10.22455/2541-7894-2021-11,0
G. G. Simutkin,"Anger attacks and «anger disorders»: clinical relevance, problem of classification, comorbidity and therapy (review)",2018,112-182-112-322-970,10.31363/2313-7053-2018-3-10-21,1
Emelyanova; Tatyana V. Semenova,SOCIAL FEELING OF YOUTH: PSYCHOLOGICAL AND POLITICAL ASPECTS,2021,113-365-988-035-181,10.38098/ipran.opwp_2021_21_4_004,3
Н Е Харламенкова; О.С. Зайцев; Д А Никитина; А.Н. Кормилицына,Эмоционально-личностные особенности пациентов с диагнозом менингиома при выраженном посттравматическом стрессе,2018,113-646-249-544-901,10.17759/cpse.2018070409,2
Eva N. Vikentieva; Marija A. Gagarina;Emelyanova,FACTORS OF PERCEPTION OF THE FUTURE GENERATION X,2022,113-860-781-117-532,10.38098/ipran.opwp_2022_22_1_004,0
В А Афиногенова; Н Д Павлова,Интенциональные паттерны в репликах собеседников,2015,114-110-063-733-625,10.17759/exppsy.2015080204,3
Emelyanova; D A Shmidt,Social Representations of the Marriage Partner: a Generational Approach,2021,116-542-054-642-803,10.17759/sps.2021120109,4
I G Skotnikova; S P Bolshakova; K V Vorob’ev; Y I Grishchenko,Adaptation of J. Kagan’s Reflection—Impulsivity test to be a predictor of a person’s attitude towards work protecting demands,2018,118-416-705-719-567,10.17759/exppsy.2018110310,0
Yu.V. Kovaleva,INTEGRATIVE APPROACH TO THE STUDIES IN THE FIELDS OF HISTORICAL PSYCHOLOGY AND HISTORY OF PSYCHOLOGY (ON THE EXAMPLE OF STUDYING LARGE SOCIAL GROUPS AS AN OBJECT AND SUBJECT),2022,118-623-696-722-992,10.38098/ipran.5ep_2022_28_4_08,0
А.И. Мелёхин; Е А Сергиенко,Предикторы субъективного возраста в пожилом и старческом возрасте,2015,119-283-214-452-386,10.17759/exppsy.2015080316,4
T.V. Zhuravleva; S N Enikolopov; N V Dvoryanchikov; Y A Bubeev,Adaptation of the research methods suicidal behavior on selection of persons with attempts of self-murder,2018,121-445-662-609-405,10.17759/jmfp.2018070309,2
Andrei V. Abramov; Vardan E. Bagdasaryan; Stanislav O. Byshok; Sergei V. Volodenkov; Dmitry G. Evstafiev; Vladimir G. Egorov; Natal'ya A. Komleva; Natal'ya S. Kramarenko; Andrei V. Manoilo; Oleg M. Mikhailenok; Anatoly I. Petrenko; Vyacheslav F. Prokofiev,ПАНДЕМИЯ COVID-19: КОНЕЦ ПРИВЫЧНОГО МИРА?,2020,121-540-402-081-419,10.18384/2224-0209-2020-2-1001,8
E A Sergienko; E.A. Khlevnaya; T.S. Kiseleva,Test method for assessing the emotional intelligence of adolescents (MSCEIT-YRV),2021,122-683-098-126-751,10.17759/jmfp.2021100407,2
Alexander A. Oboznov; Daria L. Petrovich; Anna Yu. Akimova,COMPREHENSIVE STUDY OF SUBJECTIVE PROFESSIONAL WELL-BEING EMPLOYEES OF LOCOMOTIVE CREWS,2021,122-733-889-597-237,10.38098/ipran.opwp_2021_21_4_006,0
A N Kharitonov; K.I. Ananyeva; I.A. Basyul,Стратегии референции в диалогах об этнических лицах: топосемантический экспресс-анализ,2018,123-111-038-044-132,10.17759/exppsy.2018110411,1
Ekaterina N. Dymova,Difficult and psycho-traumatic life situations in the minds of young men,2021,123-420-262-725-759,10.24158/spp.2021.11.19,1
T.V. Mal'tseva; Nestik,COPING STRATEGIES AND PERSONALITY ATTITUDES TO THE COVID-19 PANDEMIC,2022,123-990-004-166-207,10.38098/ipran.sep_2022_26_2_02,0
D A Shmidt; A.E. Vorobiova,TYPES OF RUSSIAN INTERNET DATING SERVICES USERS: MOTIVATION AND PERSONALITY TRAITS,2022,124-631-171-481-847,10.38098/ipran.opwp_2022_23_2_005,2
N.D. Pavlova; V.A. Afinogenova;Kubrak; I. A. Zachesova,Speech Intentions and Referential Objects in Discourse of Social Media (Based on the Discussions in the Context of Lockdown),2023,125-144-762-537-011,10.17759/exppsy.2022150409,1
A.N. Lebedev; O.V. Gordyakova,THE PHENOMENON OF GROUP POLARIZATION IN POLITICAL SCIENCE AND POLITICAL PSYCHOLOGY IN THE USA AND EUROPE,2021,126-603-920-596-743,10.38098/ipran.sep_2021_24_4_06,2
Daria A. Nikitina,Basic Beliefs and Motivational Preferences of People with Severe Somatic Disease: Current and Retrospective Assessment,2022,127-079-069-773-395,10.24158/spp.2022.10.16,0
Vladimir Tolochek,Professional activity of the subject as a subject of discipline of «labor psychology»,2023,129-041-083-907-854,10.38098/ipran.opwp_2023_26_1_002,0
K. Korsakov,Psychological and Educational Work with Adolescent Delin-quents with Antisocial Psychopathies,2022,129-309-325-475-201,10.17759/psylaw.2022120109,0
Alexey K. Kovalev; Yu. M. Kuznetsova; M.Y. Penkina; Maxim Stankevich; N. V. Chudova,Possibilities of automatic text analysis in the task of determining the psychological characteristics of the author,2020,129-313-585-695-982,10.17759/exppsy.2020130111,2
Anatoliy N. Zankovskiy; Arsenii S. Bakanov,HUMAN-ORIENTED APPROACH TO INCREASING THE QUALITY AND SPEED OF TRAINING SPECIALISTS IN CONTROL OF COMPLEX TECHNICAL OBJECTS (BY THE EXAMPLE OF UAV),2023,130-303-614-346-420,10.38098/ipran.opwp_2023_26_1_008,1
A.V. Didenko; O.K. Alenina; A.V. Oglezneva,Need for Cognitive Closure in Patients with Social Phobia,2022,131-896-499-917-090,10.17759/cpse.2022110403,1
A A Berdichevsky;Padun; null Gagarina,Testing a Modified Version of the Spenn-Fisher Codependency Scale,2019,132-566-999-127-92X,10.17759/cpse.2019080113,2
A.V. Didenko; M.M. Aksenov; O.K. Alenina,Social Phobia and Avoidant Personality Disorder: Comorbidity and Clinical-Diagnostic Problems (Analytical Review),2020,133-898-979-450-604,10.17759/cpse.2020090401,2
Yelena V. Volkova; Irina O. Kuvayeva,Differentiated conceptualisation of stress as a factor in coping behaviour: a cross-cultural approach,2020,136-376-231-970-934,10.34216/2073-1426-2020-26-3-98-105,0
Yulia V. Postylyakova,RISK FACTORS AND PROTECTION FACTORS OF STUDENTS IN THE EDUCATIONAL SPACE OF THE UNIVERSITY,2022,140-295-033-296-520,10.38098/ipran.opwp_2022_22_1_006,0
Vladimir B. Ryabov; Evgeniy A. Trofimov,ARTIFICIAL INTELLIGENCE: OPPORTUNITIES AND LIMITATIONS,2022,142-796-361-786-877,10.38098/ipran.opwp_2022_24_3_005,1
Anna I. Laktionova,AGE AND GENDER DIFFERENCES IN HUMAN RESILIENCE. PART 2,2022,143-797-600-335-709,10.38098/ipran.opwp_2022_22_1_005,2
Ilya Yu. Vladimirov; Anastasia V. Smirnitskaya; Ekaterina A. Shushkova,MONITORING THE LOADING OF EXECUTIVE FUNCTIONS WHILE INSIGHT PROBLEM SOLVING USING A SINGLE TONE PARADIGM,2023,146-407-654-312-636,10.17323/1813-8918-2023-3-490-499,0
Alexander A. Oboznov; Обознов А А; Alexandra Gerasimova; Герасимова А С; Yulia V. Bessonova; Ю В Бессонова; Ruben V Aguzumtsyan; Агузумцян Р В; Laura A Petrosyan; Петросян Л А,THE STUDENTS’ REPRESENTATIONS OF CIVIL SERVANTS’ NORMATIVE ORIENTATION,2017,146-514-392-519-955,10.22363/2313-1683-2017-14-4-400-412,0
T N Reznikova; N A Seliverstova; I.V. Chikhachev,Correction of Cognitive and Emotional-Personal Processes Modification in Elderly Persons in a Non-Medicamentous Way (Method of Artificial Stable Functional Brain Connections),2021,147-627-273-888-616,10.17759/cpse.2021100408,2
Ekaterina Valueva; Nadezhda M. Lapteva,"""AHA!"" AND ""OH YES!"": HOW EMOTIONS AFFECT INSIGHT EXPERIENCE",2023,147-703-593-062-823,10.17323/1813-8918-2023-3-428-444,0
А.А. Корнеев; А.Н. Кричевец; К.В. Сугоняев;Uchakov,Использование метода модерируемого конфирматорного факторного анализа в исследовании нелинейных эффектов результатов интеллектуального тестирования,2020,148-385-481-982-786,10.17323/1813-8918-2021-4-718-747,1
T N Grechenko; A N Kharitonov;Zhegallo; E L Sumina; D L Sumin,Synchronization of Electrical Oscillations in the Organization of Social Life of Microorganisms,2020,149-004-133-772-437,10.17759/exppsy.2020130310,0
Т.Ю. Савицкая; В.Н. Носуленко; Ю.И. Александров,Динамика сердечного ритма у индивидов при оценке и описании ими эмоционально окрашенных изображений,2020,152-658-733-031-094,10.17759/exppsy.2020130101,2
E.S. Samoylenko; I.A. Basyul,Individual differences in perception of similarity of facial images and characteristics of oculomotor activity,2019,152-971-618-683-32X,10.17759/exppsy.2019120306,1
V V Rubtsov; Michael Cole; J V Wertsch; A.G. Asmolov; V T Kudryavcev; N N Nechaev; Vladislav A. Lektorsky; T V Akhutina; Glozman Zh.M.; M.V. Falikman; B D Elkonin; A A Margolis; V.A. Guruzhapov,Human Development and the Creative Potential of Culture (Roundtable of the methodological seminar supervised by V.V. Rubtsov and B.D. Elkonin),2018,153-698-796-666-356,10.17759/chp.2018140406,3
M.A. Padun; J.V. Bykhovets; N.N. Kazymova; Y. Ccentsova-Dutton,Russian Version of the International Trauma Questionnaire: Adaptation and Validation in a Non-Clinical Sample,2022,154-513-433-797-384,10.17759/cpp.2022300304,4
Galina Ozhiganova,"Editorial Board Contents Аrchive Publication Ethics Subscription Review policy For Authors Call for Papers FAQ Address: Armyanskii ln., 4-2, Moscow, 101000, Russia  Е-mail: psychology.hse@gmail.com  Search text Отправить the website and texts of articles by authors by title (or part of title) by keyword Galina Ozhiganova  1 1 nstitute of Psychology, Russian Academy of Sciences, 13 build. 1, Yaroslavskaya Str., Moscow, 129366, Russian Federation Spiritual Capacities of Personality and Productive Life Activity",2021,156-185-505-278-966,10.17323/1813-8918-2021-1-182-202,3
A.N. Lebedev; O.V. Gordyakova; A.S. Panfilova,The Phenomenon of Value-Affective Polarization of Large Social Groups and the Methodology for Assessing Implicit Political Attitudes,2023,156-600-264-834-292,10.17759/exppsy.2023160406,0
A. D. Maidansky; V. Oittinen,Evald Ilyenkov and Soviet Philosophy,2020,156-662-256-742-666,10.24833/2541-8831-2020-3-15-180-186,0
Galina Ozhiganova,Subjectiveness as a basis for the manifestation of spiritual capacities,2021,157-692-211-020-428,10.34216/2073-1426-2021-27-3-49-57,0
Aleksej N. Morgun; Yurii N. Oleinik; Anatoly L. Zhuravlev,"SCIENTIFIC COOPERATION OF ORGANIZATIONS IN THE INFORMATION SPACE ""PSIKHOLOGICHESKII ZHURNAL""",2022,161-474-720-196-180,10.38098/ipran.opwp_2022_25_4_006,0
N.A. Almaev; O.V. Murasheva,THEMATIC ANALYSIS OF DISCUSSIONS USING THE latent Dirichlet allocation,2022,161-592-697-183-871,10.38098/ipran.sep_2022_25_1_03,0
M.A. Padun; M.Gagarina; A.N. Zelianina,Mediated Role of Emotion Regulation and Time Perspective in Relationship Between Temperamental Traits and Emotional States,2020,164-215-623-639-405,10.17759/exppsy.2020130403,2
М А Падун; S.S. Belova; Т.А. Нестик,Установки приверженности масочному режиму российских респондентов в период пандемии COVID-19,2020,164-528-569-102-451,10.17323/1813-8918-2021-4-770-791,0
E.Valueva; Е.М. Лаптева; A.A.Grigoriev,Интеллект регионов России сквозь призму социальных сетей,2021,164-977-583-289-148,10.17323/1813-8918-2021-1-129-144,3
K A Vorontsov; A.A.Grigoriev,The effects of psycholinguistic variables on the behavior of associative processes,2019,165-944-850-966-082,10.17759/exppsy.2019120109,0
С.В. Гуцыкова,PROFESSIONAL ROLE IN THE DETERMINATION OF THE WORK ENVIRONMENT PERCEPTION PROCESSES,2020,166-071-615-898-397,10.38098/ipran.opwp.2020.16.3.008,0
Vladislav V. Kosyanchuk; Yulia V. Bessonova;Alexander A. Oboznov; Anatoliy N. Zankovskiy; Ivan I. Greshnikov; Innokentiy A. Makhortov,METHOD FOR FINDING ERGONOMIC AND PSYCHOLOGICAL VULNERABILITIES IN HUMAN-INTERFACE INTERACTION,2022,167-386-055-973-979,10.38098/ipran.opwp_2022_25_4_010,0
Ju. Ya. Golikov,DEVELOPMENT OF EXISTING CONCEPTUAL REPRESENTATIONS ABOUT MATERIAL HUMAN NATURE AND HIS EVOLUTION,2023,169-247-932-626-788,10.38098/ipran.opwp_2023_26_1_001,0
A A Berdichevsky;M.A. Padun; M.Gagarina; M.V. Arkhipova,"Emotional Regulation in Individuals, Standing in Codependent Relationship",2021,169-464-136-627-588,10.17759/cpse.2021100409,5
N. Kharlamenkova; D.Nikitina; N. Shatalova; E. Dymova,"Psychological Consequences of Experienced Stress in Childhood — Phenomena of ""Abandonment"" and ""Involvement""",2022,170-115-301-716-032,10.17759/cpse.2022110303,6
Natalya D. Pavlova; V.A. Afinogenova;Kubrak; I. A. Zachesova,DISCOURSE OF SOCIAL MEDIA IN THE CONTEXT OF THE COVID-19 PANDEMIC,2021,170-744-249-515-090,10.17759/exppsy.2021140311,1
Aigul A. Aldasheva; Arsenii S. Bakanov; Oksana V. Runets,PROFESSIONAL SELF-DETERMINATION OF DIFFERENT PROFESSIONAL GROUPS IN CONDITIONS OF SOCIO-ECONOMIC INSTABILITY (PANDEMIC),2022,172-209-648-963-323,10.38098/ipran.opwp_2022_22_1_007,0
O I Teslavskaia;T N Savchenko,"Subjective quality of life and psychological adaptation of individuals with low, normal and high level of escapism",2019,175-579-318-474-452,10.17759/exppsy.2019120212,3
Ekaterina N. Dymova,Sovereignty of the Psychological Space of Men Involved in Amateur Sports,2022,175-945-137-081-42X,10.24158/spp.2022.10.20,0
Muzaffarova Ta; Novikova Ov; Sachkov Iyu; Kipkeeva Fm; Ginter Ek; А. В. Карпухин; Оригинальное Мнение; Оригинальное Исследование; Goloshchapov Dl; Kashkarov Vm; Ippolitov Yua; Ippolitov Iyu; Jitraporn Vongsvivut; Seredin Pv; Tatiana V. Egorova,Экзосомы,2019,176-395-715-422-410,10.24075/vrgmu.2019-04,0
В.А. Толочек,Field research at an industrial enterprise: results and methodological reflection,2020,176-926-920-461-953,10.38098/ipran.opwp.2020.16.3.002,0
V A Barabanschikov;A.V. Zhegallo; Y.N. Smolny; M.M. Marinova,The Impact of a Stranger's Emotional Facial Expression on the Perception of His Personality,2021,179-808-377-086-793,10.17759/exppsy.2021140402,0
А.С. Рафикова; E.Valueva; А.С. Панфилова,Голос и психологические свойства человека: обзор современных исследований,2022,179-980-642-259-400,10.17323/1813-8918-2022-1-195-215,2
Victor V. Znakov,UNDERSTANDING OF THE IMPOSSIBLE EVENTS AS A PROBLEM OF PSYCHOLOGY OF HUMAN BEING,2020,181-278-123-766-023,10.18384/2224-0209-2020-4-1039,0
N.V. Borisova,"LEGAL CONSCIOUSNESS OF A REPRESENTATIVE OF A MORAL ELITE (ON THE EXAMPLE OF THE PAISIOS OF MAUNT ATHOS) PART 2: VIEWS ON DUE AND UNACCEPTABLE IN RELATIONSHIP TO OTHERS, SOCIETY IN GENERAL",2021,181-459-259-757-372,10.38098/ipran.sep_2021_23_3_03,0
A.A.Grigoriev; K.V. Sugonuaev,DYNAMICS OF THE GENERAL FACTOR OF INTELLIGENCE AND SCIENTIFIC PROGRESS IN THE 18-20 CENTURIES,2022,182-030-383-566-527,10.38098/ipran.sep_2022_25_1_02,1
E.V. Kharitonova,THE MODERN RUSSIAN FAMILY IN THE CONDITIONS OF UNCERTAINTY,2021,182-431-337-246-925,10.38098/ipran.sep_2021_24_4_04,1
Alexey A. Medyntsev,USING SUBJECTIVE REPORT RATING SCALES TO REVEAL BASIC PROCESSES UNDERLYING INSIGHT SOLUTIONS IN ANAGRAM TASKS,2023,185-716-049-654-842,10.17323/1813-8918-2023-3-445-460,0
А.С. Панфилова;Uchakov,"Эмоциональный тон российского, итальянского, немецкого и французского новостного интернет-контента в период разворачивания пандемии COVID-19",2022,185-745-484-778-535,10.17323/1813-8918-2022-3-562-586,1
Yulia V. Bessonova;Alexander A. Oboznov; Anatoliy N. Zankovskiy; Anna Yu. Akimova,PSYCHOLOGICAL VULNERABILITIES OF ADVANCED DRIVER ASSISTANCE SYSTEMS USAGE,2021,188-190-729-478-315,10.38098/ipran.opwp_2021_20_3_003,2
