"id","type","label"
"28413697","studio","WAR CATS"
"3459829","studio","студия для всех русских"
"34252581","studio","Игры которые можно улучшить"
"27624951","studio","AREA-X"
"26184571","studio","BEST GAMES"
"28574448","studio","ИГРЫ ПРО ROBLOX"
"6075853","studio","Танчики и стрелялки"
"27053477","studio","Реклама"
"27594606","studio","ask elenielM"
"2031180","studio","Tanks Studio"
"4859165","studio","project by soni2017 "
"5294573","studio","Клуб танкистов."
"5621706","studio","⭐ Всё что круто!⭐"
"5749372","studio","В эту студию можете добавить что хотите"
"19385719","studio","Лучшие проекты!"
"25031957","studio","Самые лучшие люди"
"25091111","studio","Студия для всех-всех-всех"
"25246708","studio","скретчерлэнд "
"25684322","studio","Наберём 1000000 проектов?"
"25990125","studio"," Studio охрана скретча  _:D_"
"26180415","studio","Games"
"26474597","studio","ранран студия"
"26808162","studio","Мир скретча"
"26517912","studio","Арт-студия"
"26602478","studio","Бессмертный полк"
"26679832","studio","Scratch Россия"
"31687619","studio","война"
"25482444","studio","✔ С.К.И.М ✔ Самые  Крутые Игры Мира"
"26170697","studio","funny games"
"26304923","studio","Искарка  /\==/\"
"26311227","studio","Только крутые игры"
"26562900","studio","петушиная студия. "
"26746541","studio","Альянс скретча"
"2019180","studio","Half-Life"
"29563712","studio","Alleksandra-I's Studio"
"32071650","studio","guns, games, space, dying light games fun "
"26756891","studio","Страшилки"
"4843675","studio","SCP GAMES ONLY"
"5267935","studio","The SCP Foundation"
"5816204","studio","SCP"
"27628196","studio","1000000000000000projets"
"32693730","studio","Add all your projects Studio or add SUS"
"256756","studio","half life"
"25281896","studio","СТУДИЯ ЖИВА! FANNY SCRATCH"
"25906958","studio","TRΛSH STUDIOS"
"26132382","studio","Практичні завдання"
"26208514","studio","olga"
"26258069","studio","LA la"
"26258281","studio","Uni cool"
"26259363","studio","1234567"
"26259576","studio","890olk"
"26262821","studio","girl.com"
"26275287","studio","uoij"
"26277129","studio","o.com"
"26277782","studio","invite every curator and Add every project"
"26279570","studio","99999999999999999999"
"26282462","studio","yay"
"26313490","studio","О Привет!"
"26393298","studio","GAMES!!!GAMES!!!GAMES!!!MEMES!!!"
"26419861","studio","Давайте "
"26534087","studio","всё вместе"
"26540318","studio","Скретчики"
"26642884","studio","Rom-fr-soft Corporation"
"26663187","studio","Studio LeVsuper"
"26715967","studio","Raffel! (Prize is a FREE minecraft account)40 spots"
"26906276","studio","Просто студия"
"26978622","studio","просто студия"
"27716228","studio","Но зачем?"
"337342","studio","Tank Games"
"1687299","studio","The Most Awesome Tank Games"
"3687039","studio","самые крутые игры "
"3817180","studio","Super Tank Studio"
"4077407","studio","Создаём танки с ботом !"
"4262017","studio","Tank Trouble"
"5686342","studio","Programmists Team"
"7106171","studio","Tank studio"
"7671754","studio","7th Grade Think Tank"
"8133270","studio","Follow this studio if you have legs."
"25074391","studio","TANK"
"25249502","studio","Can We Get 1000 Projects?"
"25280567","studio","Gamer Town"
"25873241","studio","USSR"
"34215536","studio","Войны"
"25283877","studio","Сможем набрать 50 000 проектов к 2021 году?"
"25926798","studio","что хотите то и делайте"
"25950173","studio","Студия скретчеров! (ляляля)"
"25969314","studio","смешные проекты"
"25986473","studio","Лучшие игры"
"26189996","studio","Лучшие мультики"
"186261","studio","free to add"
"31502869","studio","Добавляй всё! Add everything!"
"25871580","studio","Скретчики"
"27144359","studio","Добавляйте Все!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!"
"33015343","studio","мои избранные проекты "
"7983130","studio","IDEK"
"26384357","studio","Scratch工作室"
"26520671","studio","ADD ANY THING( f4f) "
"27628493","studio","favorits"
"27695016","studio","CatNetworkNews"
"30801232","studio","3D Tunk Battle for two online"
"33925310","studio","Mind Blowing"
"36171862","studio","Fishy Studio"
"36717522","studio","Su 57 Prem kumar Air Force "
"6236657","studio","крч смесь всего"
"11920146","studio","わったんスタジオ"
"25417046","studio","крутые игры"
"27494292","studio","W̴͙̟̔͆͠h̸͇̞̻̒͑y̸̻̻͚͌͑͠?̵̢̟̝͐̿̀"
"4590962","studio","XXX | KriptosL Studio | Friends & Followers"
"5673172","studio","Can we get 300 cool people by 2021?!?!?!?!"
"5804237","studio","Друзья ❤"
"25091241","studio","Добавляйте что хотите. Yes!!!"
"25208021","studio","Всё что угодно может тут быть :D"
"25336592","studio","10 000 Scratch projects attempt"
"25351731","studio","Студия подписчиков и друзей"
"25363967","studio","Unicorns65_love's fan club!(Offical)"
"25354416","studio","мультяшная студия"
"25380628","studio","СТУДИЯ МЕМАСОВ"
"25837203","studio","война(танки, и другая военная техника)"
"30633409","studio","Add Every project On Scratch for fun"
"33700122","studio","Русские 3D-проекты"
"5342557","studio","3D проекты"
"25353283","studio","TIM "
"30128093","studio","сеть Scratch"
"30133447","studio","студия Анимацыи мультфильм"
"26279942","studio","Gang Of Cool Girls And Boys"
"26620044","studio","Game studio RAG-2"
"26713403","studio","Scratchers/Скретчеры"
"27127907","studio","мультики"
"26471342","studio","длд"
"28906186","studio","⭐ Official Fan club - @Supper_Alex_man"
"30611186","studio","Grassland || Platformer"
"30953719","studio","студия игр и другого"
"31018928","studio","Black Studio|Русское сообщество "
"31110745","studio","Транспорт и трогое 2023г."
"31152470","studio","New multiplayer game is out! Cursors.io"
"31401754","studio","все куратори))))"
"31902003","studio","студия для друзей"
"33010398","studio","мои и ваши игры"
"29215337","studio","Майнкрафтеры все сюда"
"31266392","studio","Русский Майнкрафт/Russia MINecraft"
"5292289","studio","проект ""Умная дорога"""
"5304412","studio","Studio Of Fnaf and  Anything ( ͡° ͜ʖ ͡°)"
"27801919","studio","Лицей 7 (4 класс) "
"27802700","studio","Лицей 7 (3 класс)"
"27852771","studio","началка_2кл"
"5036493","studio","СоюзЦЫПфильм"
"5002836","studio","CTiV Studio"
"5036094","studio","Untitled Studio"
"5022108","studio","VErika TEAM"
"5033647","studio","Конкурс Командный Код"
"4987728","studio","Программисты"
"5007015","studio","Odnockrachniki"
"5026859","studio","Untitled Studio"
"5097100","studio","ЧАТ СОНЯ, ОЛЯ, ВИКА"
"4996100","studio","Соня, Аня и Вика - Русский Язык"
"4999652","studio","Осел и соловей"
"4980766","studio","Молния юмора"
"5010028","studio","Соня&Ира"
"4526958","studio","Подготовка к турниру ""Шмель-2018"""
"5035755","studio","Untitled Studio"
"5035676","studio","Артем студио"
"4962570","studio","миша"
"4959549","studio","Экскурсия по Тольятти каб.15"
"5030938","studio","Untitled Studio"
"5033916","studio","Игра-каталог"
"5018416","studio","Untitled Studio"
"5518069","studio","Hightech_osvita_favorites"
"4868074","studio","HACK studio"
"438992","studio","POST ALL YOU GOT"
"4572776","studio","МОЙ ПРОЕКТ"
"5032891","studio","Friends"
"5022411","studio","Викторина"
"5016811","studio","Большой эксперимент"
"5018475","studio","mayaskr"
"5032410","studio","Maiami Inc"
"5057797","studio","Parkour Master"
"5007022","studio","Bad children"
"5032831","studio","Школа ""Сотрудничества"""
"4987817","studio","NEW Speed"
"4923008","studio","Pixel Knight TEAM"
"3666092","studio","The stickman portal adventure TSPA"
"3545750","studio","Алгоритмика"
"3584130","studio","ENGE"
"3584009","studio","Всякие там игры и проекты..."
"3534231","studio","Scratch Rocks"
"5010353","studio","Unnamenid"
"4965659","studio","WeAllBros"
"4985033","studio","КОНКУРС"
"5055472","studio","Untitled Studio"
"5051441","studio","Золотая Рыбка"
"4906016","studio","Код-класс Ноябрята"
"4984491","studio","поцаны"
"4959845","studio","My Studio"
"3728101","studio","Студия измерений!"
"4301320","studio","игровая студия"
"4590330","studio","Корпорация игр X Gamer Studio"
"5027027","studio","недооценённые проекты"
"5083355","studio","Студия для новичков и скретчеров"
"25604096","studio","Примеры олимпиадных проектов"
"25716524","studio","Scretch olimp 2019-21"
"5014520","studio","Моя Студия №1"
"3530020","studio","ГУО ""Гимназия№1 г. Орши"""
"5015857","studio","Графическая История Ланкл"
"4392569","studio","Алгоритмика348"
"4499991","studio","Студия Скретчеров СНГ"
"4586101","studio","tuleninov fan club"
"4844756","studio","Творчество без границ ! "
"4948409","studio","Просто студия"
"5046198","studio","5000"
"5501479","studio","Русская студия программирования"
"5770573","studio","Фан-клуб @FAV_Mus"
"5792587","studio"," всё о  драконов"
"5801047","studio","White_Lord and Friends"
"4537975","studio","Добавляем что хотим!!!!!!!!! "
"4783718","studio","~~~Hornet96 fun club~~~"
"4970960","studio","ВОТ ЭТО ПОВОРОТ"
"5043134","studio","Студия для студий и проектов!"
"5059315","studio","Фан - студия remigsa (ВВМ)"
"5515302","studio","The fun studio"
"5520998","studio","Fortnite2"
"5642961","studio","Beef Boss Fan club"
"5642968","studio","Calamity Studio"
"5806686","studio","100+ followers"
"4945381","studio","Русское коммьюнити Скретча(РКС)"
"4699014","studio","лучшие проекты"
"27707565","studio","Geometry dash"
"28852619","studio","J&G studio"
"5022349","studio","ClassicNastya"
"5022364","studio","Peterfireleft228"
"5067760","studio","Поиграйка"
"25146855","studio","Тесты."
"5019751","studio","Дисней!"
"4931838","studio","pro-Oshepkov"
"4918826","studio","SCRATCHMOB-21"
"3822758","studio","Юные мультипликаторы"
"4906120","studio","Admin's Team 2"
"33275810","studio","SCRATCH SCHOOL"
"4931791","studio"," typical studio"
"4970861","studio","prank"
"4931711","studio","pixel gan 3d"
"7829198","studio","IT - технологии в образовании. Хакатон 2019"
"5106250","studio","Анимация"
"4951216","studio","Строители"
"4951218","studio","Строители (Настя)"
"4931707","studio","Untitled Studio"
"4968525","studio","UMUSTPLAY"
"5721603","studio","Untitled Studio"
"4951242","studio","Космос"
"5106249","studio","новая анимация"
"5015622","studio","КомадныйКод Изучение Английских слов"
"5000064","studio","Collab Challenge Тверь: команда Л+А"
"1778005","studio","Таблица умножения"
"4929645","studio","Легенда об Искателе"
"4968806","studio","бла бла бла бла"
"4825860","studio","Runner IMC"
"35857187","studio","Архив скретчевской анимации и не только..."
"3959044","studio","Untitled Studio"
"1887946","studio","Undertale!"
"3778683","studio","Scratcher Team"
"25193896","studio","ТОП ИГРЫ(SCRATCH GAMES)"
"25933652","studio","клуб Феникса"
"26177411","studio","timatos studio"
"4987819","studio","New Speed"
"4947495","studio","торпеда 2"
"1320302","studio","Shaikhatarov's games"
"1475738","studio","cool and epic studio"
"4944543","studio","TheGameTeam"
"9940083","studio","Марсоход 12:00"
"4956226","studio","Сhildren of fortune "
"4956209","studio","Game Following"
"27549754","studio","""good"" projects"
"4977057","studio","victori"
"4951215","studio","мир"
"4373707","studio"," Studio элит"
"475523","studio","Build-a-Band"
"4999569","studio","Студия команды 11"
"26322475","studio","1 Прототипы игр | Game Prototypes"
"25334084","studio","Мои лучшие проекты"
"5872272","studio","Побег из лаборатории ЗЭЗ-735"
"5944332","studio","Серьезная игра про экологию"
"5920382","studio","Игра ""Преступление века"""
"5616633","studio","Идеи игровых меню | Game Menu Ideas"
"6013112","studio","Fine Arts Studio"
"5540176","studio","Инженерика-Группа 1-Студия класса"
"25703510","studio","КЛУБ ПРИНЦЕСС И ФЕЙ И РУСАЛОК."
"35445332","studio","принцессы"
"35461688","studio","Add anything!"
"25745681","studio","❄❄❄Холодное сердце1/2❄❄❄"
"5322379","studio","Cinemagraphs | Синемаграфия"
"5073390","studio","Стартовые проекты для Инженерики"
"5067517","studio","Работы на олимпиаду РОББО 2018"
"4941320","studio","Работы на конкурс Цифровой ветер 2018 | Инженерика"
"4947897","studio","1_Интерактивная песочница_группа_пятница"
"5830017","studio"," IT Квантум Череповец"
"4968587","studio","SMS - ScratchMakersStudio"
"4554763","studio","Start studio"
"4951643","studio","Путешествие В Двух Измерениях"
"33015669","studio","ЗВЁЗДНЫЕ ВОЙНЫ"
"4999699","studio","MAXIMUSLU"
"4962624","studio"," Помогатор госуслуг #КомандныйКод "
"4779964","studio","Untitled Studio"
"4295949","studio","Untitled Studio"
"4666235","studio","Untitled Studio"
"4968665","studio","HUCER"
"5037521","studio","Крутые игры"
"5922797","studio","Untitled Studio"
"4970865","studio","джейсаны"
"4949490","studio","команда профессионалов"
"4987711","studio","Еноты"
"4957117","studio","Смайлики"
"4906361","studio","roeb and krusуa"
"4562751","studio","ITUM"
"4926292","studio","ДимКа"
